CellType,Sex,Disease,Converged,IsPhys,Beats,APD50,APD90,RMP,CaT_amp,CaD50,CaD90
endo,male,control,1,1,20,202.075242661969,255.10308092593,-88.6433045914521,0.000442736954091874,158.321878276251,313.57842881507
endo,male,t2dm,1,1,30,455.329923094283,514.135755582027,-88.6211887997995,0.000267653064022039,227.433262063447,376.602805863406
endo,female,control,1,1,30,236.387685076683,298.452166649551,-88.5027371604915,0.000381713461761935,178.329981953957,329.141349764979
endo,female,t2dm,1,1,40,501.922437880497,568.696487828582,-88.506831665419,0.000250025394158353,230.326358755841,403.53261436647
epi,male,control,1,1,30,192.113988910771,239.195817581105,-88.9779547948086,0.000700606362523279,124.950418993358,272.695177146277
epi,male,t2dm,1,1,40,518.769608921932,570.194769462123,-88.953703836234,0.00031481930305624,234.266530674731,467.430526514128
epi,female,control,1,1,30,229.606042728314,287.989134258614,-88.7560437190281,0.000616502064929263,139.290596432791,292.708703845368
epi,female,t2dm,0,1,500,756.293863914991,819.244721427758,-89.2177019524895,0.000265349847944565,251.450317848239,684.267499826981
mid,male,control,1,1,40,259.529270753739,321.620548362784,-89.6156119646109,0.000882928961343921,157.394810941911,321.487191787126
mid,male,t2dm,0,0,500,582.016293649693,641.893173800454,-1.29872324436316,0.00015945121028816,99.5957921336139,601.85841845044
mid,female,control,1,1,40,296.32028345765,362.856196400124,-89.56331918112,0.000836415056108374,164.43760619832,342.804563713154
mid,female,t2dm,0,0,500,586.669258506441,649.642634596505,-2.75637590225076,0.000143822859492404,102.783972927758,608.908856290658
